Rank,Name,Team,R1,R2,R3,R4,R5,R6,R7,R8,Avg,Stdev,Num
1,Annushka Agarwal,🇨🇦Canada,—,72,74,75.83,74,—,75,74.17,74.17,1.17,6
2,Hitishaa Goyal,🇮🇳India,73.17,73.67,73.33,72.83,72.83,74.33,75.33,77.33,74.1,1.45,8
3,Rai Daud Ali Saif,🇵🇰Pakistan,72.33,74.33,74.67,75,73.83,74,—,74.5,74.1,0.81,7
4,Shayor Ahmad Khan,🇧🇩Bangladesh,73.5,73.83,74.5,73.17,74,73.67,74.83,—,73.93,0.53,7
5,Sophie Hannigan,🦄Scotland,72.67,—,74.17,73.67,73,75.5,74,74.17,73.88,0.85,7
6,Avni Kaur Chadha,🇮🇳India,72.83,—,74.67,72.5,73.5,73.83,—,75.67,73.83,1.08,6
7,Ashwin Laksumanage,🇱🇰Sri Lanka,73.67,73.5,72.83,75.33,73.83,73.17,74.17,73.33,73.73,0.72,8
8,Thithira Thulnith Jayakody,🇱🇰Sri Lanka,73,—,73.17,74.83,73.33,73,74.83,73.5,73.67,0.76,7
9,Emma Bell,🦄Scotland,—,—,72.5,73.83,—,73.83,73.67,74.17,73.6,0.57,5
10,Rally Lin,🇨🇦Canada,71.33,—,74.17,75,—,72.83,74.67,—,73.6,1.35,5
11,Chelsea Hu,🇺🇸USA,73.83,—,72,—,—,72.17,75.83,74.17,73.6,1.41,5
12,Umar Fazlan Azri,🇲🇾Malaysia,73,72.5,—,74.83,—,74.17,74,72.67,73.53,0.86,6
13,Stephanie Chen,🇨🇳China,74.17,74.17,74.67,73.67,73.33,72.33,72.33,73.33,73.5,0.79,8
14,Teioh Nuan Ning,🇲🇾Malaysia,73.33,—,73.33,74.5,72.67,74,73.5,72.83,73.45,0.59,7
15,Rachel Lang,🇭🇰Hong Kong,73.83,73,73.83,72.33,74.5,72.5,74.17,—,73.45,0.78,7
16,Chanidu Manmitha Ratnayake,🇱🇰Sri Lanka,73.17,72.5,72.33,74.67,74.17,72.67,75.17,72.67,73.42,1.02,8
17,Yasar Adnan Murtaza,🇵🇰Pakistan,71.5,—,74.17,—,73.83,73.17,73.83,73.83,73.39,0.9,6
18,Zachary Too,🇭🇰Hong Kong,75.33,—,73.67,—,—,72.83,74,70.83,73.33,1.49,5
19,Haasini Kellampalli,🇮🇳India,72.5,—,73.67,72.17,73.17,72.83,73.83,75,73.31,0.88,7
20,Jenny Kim,🇭🇰Hong Kong,74.33,73.5,73,72.33,75.17,72.5,73.83,71.67,73.29,1.07,8
21,Tanush Agarwal,🇨🇦Canada,72,73.17,73.5,—,73.5,73,—,74.5,73.28,0.74,6
22,Chris Ye,🇳🇿New Zealand,74.33,—,72.33,73.17,—,72.83,73,74,73.28,0.68,6
23,Arjun Gunalan,🇲🇾Malaysia,—,73,73.67,74,—,73.67,73,72.17,73.25,0.61,6
24,Ambika Grover,🇺🇸USA,73.33,72.67,—,72.33,—,—,74.5,—,73.21,0.83,4
25,Muhammad Aizad Rayan,🇵🇰Pakistan,70.83,—,73.67,—,73.67,73.67,74.17,—,73.2,1.2,5
26,Vinayak Ravishankar Menon,🇺🇸USA,73,—,72.5,72.5,73.83,73.5,—,73.83,73.19,0.56,6
27,Maria Xu,🇨🇦Canada,70.67,72.5,—,74.33,72.83,73.67,74.67,73.67,73.19,1.25,7
